id;code;label;amount;percent;amount_in_percent;amount_transaction_max;amount_transaction_min;price_code;service_code;description;modification_date
1;Unbranded ;unleash;99326;96627;true;97007;56463;Borde;payme;directional Gloves Unbranded;2020-03-30T01:01:55
2;Granite;Customer;61036;16459;true;6387;24974;one-t;Borde;Shoes Designer exploit;2020-03-29T20:36:51
3;Small Jord;innovative Toys;74617;76634;true;40641;16059;Niger;Plast;overriding;2020-03-29T23:39:34
4;Syrian Pou;Keyboard navigate;47415;20903;false;69579;61662;Tasty;overr;parse networks;2020-03-29T21:31:17
5;Home Books;success Ergonomic Granite Hat iterate;63455;38797;true;82956;12074;Repre;conne;Buckinghamshire cross-platform Unbranded;2020-03-30T00:48:14
6;Money Mark;Kina;76531;92366;true;99751;20480;open-;appli;time-frame;2020-03-29T11:30:02
7;deposit ar;Self-enabling Investment Account;64038;86953;true;18065;74086;Cuba ;targe;Reduced contextually-based;2020-03-29T12:54:29
8;Focused;Islands;16802;66374;false;11823;39998;Refin;open-;Cedi;2020-03-30T01:14:01
9;Bedfordshi;Metal auxiliary Berkshire;75033;97903;false;42073;51448;JSON ;Nebra;vortals Applications exuding;2020-03-29T23:40:48
10;synthesize;Lane Ergonomic Rubber Chair models;87774;87401;false;22071;82646;Arkan;parsi;Berkshire;2020-03-30T04:06:37
