id;amount;description;label;modification_date;service_code;account_type_code;currency_code;active
1;4149;withdrawal Home Loan Account payment;encoding;2020-03-29T14:44:11;Communicat;B2B P;KZT;false
2;67811;Pitcairn Islands extensible methodologies;definition intuitive Incredible;2020-03-30T00:27:49;asymmetric;Offic;CZK;false
3;16488;De-engineered;Money Market Account Pants Architect;2020-03-30T00:22:11;Bedfordshi;Legac;GEL;true
4;17719;secondary Soft Brand;Health fuchsia deposit;2020-03-30T01:13:20;exploit PC;dynam;KWD;false
5;72971;Tactics;applications transmitting;2020-03-30T08:12:48;sensor;Plast;XPF;false
6;13708;system deposit;Cotton Guatemala;2020-03-29T13:25:59;one-to-one;Baby ;WST;true
7;52314;Bond Markets Units European Composite Unit (EURCO) niches;throughput Movies;2020-03-29T15:15:13;neural;Aweso;BDT;false
8;36154;Tasty;white Unbranded Rubber Cheese;2020-03-29T17:21:29;Kids invoi;CSS;TND;true
9;74816;Washington;navigating;2020-03-29T11:29:07;4th genera;Steel;ANG;true
10;52358;white Orchestrator;Customer-focused Ohio;2020-03-30T02:28:11;calculatin;cross;AWG;false
