id;customer_blacklist_status;insertion_date;modification_date;comment;active
1;BLACKLIST;2020-03-30T03:39:34;2020-03-30T01:13:09;Credit Card Account clear-thinking Frozen;false
2;CANCELLED;2020-03-29T13:01:41;2020-03-30T01:03:01;Accountability;true
3;INITIATED;2020-03-29T15:38:06;2020-03-29T23:33:33;Liaison engage navigate;false
4;CANCELLED;2020-03-30T07:52:32;2020-03-30T04:31:35;Ergonomic Fresh Chicken;true
5;CANCELLED;2020-03-29T21:45:28;2020-03-29T21:02:40;capacitor program enhance;false
6;CANCELLED;2020-03-30T04:29:40;2020-03-29T20:32:24;Synergized;true
7;BLACKLIST;2020-03-29T18:58:14;2020-03-29T23:07:56;Springs connecting;false
8;CANCELLED;2020-03-29T16:05:05;2020-03-30T01:24:16;Granite Grocery;true
9;INITIATED;2020-03-30T07:48:54;2020-03-29T20:16:26;Director;true
10;INITIATED;2020-03-30T08:54:14;2020-03-29T13:23:18;real-time Berkshire solid state;false
