id;transaction_number;label;transaction_amount;transaction_date;fees_supported;transaction_fees;price_code;from_partner_code;to_partner_code;transaction_status_code;transaction_type_code;service_code;comment;active
1;bypassing;mint green transmitting;67664;2020-03-29T21:55:02;true;18919;hard drive;Lodge;progr;Radia;SQL;Woode;Ergonomic Frozen Pants;true
2;deposit neutral Pre-emptive;SQL Soft Coordinator;58262;2020-03-30T07:44:56;true;1071;Cyprus Ass;Grena;vorta;Beaut;Coord;Circl;invoice Home Loan Account;false
3;technologies neural;Internal;85324;2020-03-29T19:31:17;true;41896;Gardens;Handm;porta;navig;Aweso;Small;Global compressing;true
4;Cheese Soft Refined Metal Fish;Mandatory bandwidth instruction set;24217;2020-03-30T02:43:09;false;37482;Credit Car;Princ;Enter;overr;Gener;Hills;Cambridgeshire PNG SMTP;false
5;haptic;Tasty Soft Shoes website;56242;2020-03-29T16:58:54;false;24860;Timor-Lest;next ;cutti;Integ;custo;Small;Intelligent Concrete Table Azerbaijan;false
6;action-items;metrics Agent;80786;2020-03-29T23:15:37;true;33015;Refined Ta;card;extra;Direc;Small;Licen;Rustic;true
7;Re-engineered GB;applications;48285;2020-03-30T10:46:25;false;51178;program;Cambr;plum ;Marke;Soap ;orang;Buckinghamshire bluetooth;true
8;payment Computer;evolve cross-platform;22050;2020-03-30T01:10:00;false;3981;composite ;proto;trans;bypas;conne;Savin;Operations Legacy;true
9;Credit Card Account solid state Licensed Plastic T;Philippine Peso;92630;2020-03-30T02:32:53;true;14850;Credit Car;chann;Profo;Ohio ;calcu;Estat;mission-critical Som;false
10;Metical;HTTP;72528;2020-03-29T20:27:20;false;24080;aggregate;Cambo;intra;Unive;Tools;plug-;Towels;true
