id;transaction_number;label;transaction_amount;transaction_date;fees_supported;transaction_fees;price_code;from_partner_code;to_partner_code;transaction_status_code;transaction_type_code;service_code;comment;active
1;mobile Fish;Home Loan Account Table Computer;5808;2020-03-30T00:43:07;true;33370;Metal depo;Produ;Imple;metho;Home ;Steel;Multi-channelled Licensed;true
2;syndicate;Mississippi Refined Rubber Chicken Table;6505;2020-03-30T11:25:20;true;94220;South Dako;Nakfa;Baham;Games;copy ;Mayot;Industrial;true
3;Views e-enable Communications;National Awesome sky blue;4522;2020-03-29T12:40:22;false;84453;compress S;compe;bifur;Small;deliv;overr;monitor 1080p Checking Account;true
4;deposit Internal;Investment Account archive Fantastic Plastic Chicken;32518;2020-03-29T19:45:31;true;59129;tangible M;Froze;hard ;Polan;Small;Outdo;Harbor Montana;true
5;Concrete Investment Account Saint Lucia;User-centric;7697;2020-03-29T21:22:05;false;69478;JSON;virtu;Squar;Ghana;Direc;Profi;Jewelery cutting-edge;false
6;Hat;supply-chains magenta;11986;2020-03-30T05:16:29;false;24412;Gloves sky;robus;Exclu;zero ;missi;Berks;Canadian Dollar;true
7;Way Dominican Republic;Bulgarian Lev navigate;23763;2020-03-30T05:55:44;true;80313;Point Orch;Solom;Glove;Kentu;open-;Sausa;disintermediate Cambridgeshire hacking;true
8;bandwidth azure;SMS Enhanced;65998;2020-03-30T07:32:30;true;98216;Borders co;Tasty;pink ;bus I;THX b;Dynam;Branding;true
9;clear-thinking;Latvia;69189;2020-03-30T00:58:43;true;99445;Fish;Netwo;Fish;payme;local;turn-;Wisconsin;true
10;Cambridgeshire Investor;cross-platform Borders;57690;2020-03-29T19:41:12;false;86416;Re-context;local;Intel;Human;back ;archi;Wisconsin Facilitator Incredible;false
