id;limit_type_code;account_type_code;customer_type_code;value;comment;active
1;depos;fault;Brand;12572;card Technician Fantastic Metal Fish;false
2;Vermo;5th g;Azerb;78201;Estonia Refined;true
3;Imple;next-;Healt;33024;Investor 24/7;true
4;XSS S;hub c;Froze;57535;Licensed;false
5;leadi;encom;firew;57064;Iowa;true
6;Virgi;Toys ;high-;89945;program;true
7;Inves;bypas;West ;99020;Seamless Yemen payment;true
8;Arkan;orchi;lever;52726;Regional Chicken;true
9;cross;Natio;Handm;49731;Monitored Rustic Cotton Sausages;false
10;compr;Codes;conne;45859;Florida;true
