id;number;is_customer_initiative;opposition_date;opposition_reason;comment;active
1;Chicken bypass Paradigm;false;2020-03-29T18:05:39;Handmade Rubber Shoes proactive Checking Account;SCSI;true
2;Yemeni Rial Shoals deposi;true;2020-03-29T16:53:31;Movies Sports;target;true
3;Public-key Grocery Ball;false;2020-03-29T11:09:34;partnerships Terrace Hat;calculating conglomeration bypassing;true
4;Profound Plastic XSS;true;2020-03-30T07:27:53;mindshare;District THX Coordinator;true
5;methodologies;false;2020-03-30T01:15:59;International;override;false
6;THX;true;2020-03-30T02:14:44;RSS Neck;Mouse fuchsia Licensed;false
7;Summit Saint Martin Kids;true;2020-03-30T07:56:25;Automotive;Orchestrator indigo Manors;false
8;Savings Account;true;2020-03-29T18:38:12;architectures;Networked;false
9;payment;false;2020-03-30T04:38:04;redundant website;Chair Circles;true
10;grow Orchestrator;true;2020-03-30T04:05:25;El Salvador Colon US Dollar XSS;Lead sensor bypass;false
