id;status;default_reason
1;Intelligent Frozen Sausages Villages;Human
2;back up Factors;architectures
3;Wisconsin Facilitator Incredible;reinvent
4;eco-centric Bedfordshire mesh;Configuration UIC-Franc
5;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
6;portal calculating Metal;real-time discrete redundant
7;Synergistic Personal Loan Account Sleek;Borders
8;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
9;interfaces;Garden Dale Wallis and Futuna
10;generating;Computers Small Fresh Gloves back-end
