id;code;label;message_date;comment;active
1;supply-chains;Tools;2020-03-29T23:50:32;Handmade Wooden Cheese Fresh;true
2;synthesize Idah;Glen Refined;2020-03-29T22:24:33;web services;true
3;Strategist;Incredible Fresh Car Tuvalu;2020-03-29T11:15:32;Gorgeous Rubber Chicken Associate Central African Republic;true
4;Dalasi;Orchestrator Naira;2020-03-30T01:52:09;protocol Product Usability;false
5;brand Generic B;olive;2020-03-29T23:57:41;one-to-one Indiana;false
6;Engineer Archit;Beauty dynamic schemas;2020-03-29T20:37:24;clear-thinking Frozen Licensed;true
7;models New Mexi;Accountability;2020-03-29T14:18:17;Rustic Steel Shirt drive;true
8;Strategist Shir;navigate redefine;2020-03-29T15:11:25;Tennessee Practical Steel Shirt Plastic;false
9;Refined;haptic Producer Agent;2020-03-29T21:45:35;input Accounts;true
10;Ergonomic Falls;User-friendly;2020-03-30T04:29:47;white SMTP;true
