id;number;amount;direction;operation_date;account_number;operation_status_code;operation_type_code;currency_code;user_code;description;active
1;Mount Nort;24160;U;2020-03-29T20:30:56;Sleek Afghani;Borde;port ;AOA;navig;Platinum;false
2;Intelligen;22009;O;2020-03-30T08:56:30;program;ivory;feed ;MGA;Cotto;Group redundant Front-line;false
3;frame dida;77772;U;2020-03-29T14:48:53;turn-key;Glove;Jewel;SBD;index;indexing;true
4;Internatio;56898;T;2020-03-30T01:34:06;interfaces Indiana Health;sexy;circu;MUR;firew;Monitored;false
5;system eng;18176;B;2020-03-30T03:20:38;Monitored;Bulga;GB ca;BND;copy ;Checking Account systems Refined Granite Towels;true
6;high-level;25180;q;2020-03-30T09:02:41;ADP;discr;infom;ZWL;mint ;EXE Norway;false
7;Unbranded;64955;R;2020-03-29T20:03:58;Incredible Rubber;white;Fresh;JMD;Creat;Road Avon Oregon;true
8;THX;17060;m;2020-03-29T16:09:11;Personal Loan Account;Indus;Strea;AMD;Licen;invoice payment Granite;true
9;Consultant;91181;i;2020-03-29T18:15:19;Stream Refined Cotton Shoes;solid;Graph;MMK;Incre;quantifying calculate;true
10;data-wareh;10252;K;2020-03-30T07:44:19;circuit Architect Architect;Refin;Bedfo;XOF;24/7 ;Gorgeous Investor;true
