id;number;is_customer_initiative;opposition_date;opposition_reason;comment;active
1;Steel leading-edge Small;false;2020-03-30T10:06:39;JBOD;Shoes Music connect;true
2;e-business Light;true;2020-03-30T01:31:27;Personal Loan Account;HTTP explicit;false
3;Optimization Cambridgeshi;true;2020-03-29T19:16:47;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;true
4;North Carolina Granite;true;2020-03-29T21:59:37;Web revolutionize Branding;teal analyzing yellow;false
5;Ergonomic Rubber Chicken;false;2020-03-30T09:22:47;functionalities quantifying;wireless;false
6;Avon;true;2020-03-29T18:22:00;Personal Loan Account HTTP;schemas Specialist China;false
7;South Dakota Wyoming inte;false;2020-03-30T02:09:36;quantify;JSON Texas;false
8;Dobra application;false;2020-03-30T08:36:48;Global Berkshire;monetize superstructure Fantastic;false
9;Interactions;true;2020-03-30T08:53:50;time-frame Quality;Borders Borders Practical;false
10;Money Market Account;true;2020-03-29T18:56:53;parse;neural Wooden Optimization;true
