id;number;creation_date;is_merchant_subscription;modification_date;validation_date;filename;customer_code;service_code;account_number;start_date;end_date;active
1;SDD bypassing;2020-03-30T00:51:42;true;2020-03-30T05:44:46;2020-03-30T09:20:30;programming panel;Avon;Plann;PCI SAS;2020-03-30T05:24:27;2020-03-29T12:21:15;true
2;Pennsylvania dynamic band;2020-03-29T23:31:41;true;2020-03-30T02:00:58;2020-03-29T21:41:11;communities National Cotton;Advan;Handm;input Naira;2020-03-30T05:23:16;2020-03-29T11:59:45;false
3;Glen Refined;2020-03-29T22:24:26;false;2020-03-30T00:36:57;2020-03-29T11:58:15;Industrial Designer Incredible Fresh Car;Princ;Parag;Sleek Tuna magenta;2020-03-30T04:01:12;2020-03-30T00:10:44;true
4;Naira iterate;2020-03-29T17:23:51;false;2020-03-29T13:07:19;2020-03-30T04:20:41;Brand Regional Court;B2B M;Junct;analyzing holistic;2020-03-30T04:50:57;2020-03-29T11:25:09;false
5;Beauty dynamic schemas;2020-03-29T20:37:16;true;2020-03-30T04:35:06;2020-03-30T07:11:06;Senior;Usabi;marke;Chair;2020-03-30T01:13:04;2020-03-30T02:03:10;true
6;Ways Liaison engage;2020-03-29T17:05:53;false;2020-03-30T01:39:22;2020-03-29T11:48:37;generating bypassing Bypass;Plast;SMS;Zimbabwe parse Customer;2020-03-29T21:02:40;2020-03-29T16:37:56;true
7;program enhance Multi-cha;2020-03-30T06:10:01;false;2020-03-30T05:03:12;2020-03-29T12:11:27;Savings Account;SMTP;Check;Borders Springs connecting;2020-03-30T03:42:05;2020-03-29T14:38:09;true
8;Planner Refined;2020-03-29T16:05:04;false;2020-03-29T20:55:45;2020-03-30T07:52:17;Grocery transmit;payme;Rubbe;withdrawal Jamaica;2020-03-30T08:54:14;2020-03-29T13:23:18;true
9;Luxembourg Spurs;2020-03-29T13:14:12;false;2020-03-30T03:56:13;2020-03-29T20:09:29;SMS Data;Via;Bucki;Investment Account frictionless orchid;2020-03-29T21:10:35;2020-03-30T05:19:28;false
10;Brunei Darussalam;2020-03-30T00:02:42;false;2020-03-29T21:03:13;2020-03-30T07:26:32;Metal deposit;Rupia;Human;Officer Savings Account Automated;2020-03-29T15:21:54;2020-03-30T07:02:00;false
