id;code;label;amount;amount_in_percent;date_creation;percent;currency_code;partner_code;service_code;description;active
1;Analyst ca;mindshare Gorgeous;2535;false;2020-03-29T11:59:05;8087;USD;Saudi Riya;Corporate;Enterprise-wide Benin;true
2;invoice;invoice;51669;true;2020-03-29T19:19:03;55435;KRW;system Gor;hack;leading-edge;false
3;Small;JBOD;70365;false;2020-03-29T23:42:28;1716;BMD;Buckingham;withdrawal;Gorgeous Cotton Chair Personal Loan Account Borders;true
4;payment So;Web;94425;false;2020-03-29T14:16:31;58577;PHP;multi-byte;Station;parsing Investment Account;true
5;invoice te;Fantastic;1822;false;2020-03-30T08:49:17;61825;RWF;Handcrafte;wireless;hybrid;false
6;Rupiah Per;schemas Specialist China;42347;true;2020-03-29T21:26:37;80683;MZN;interface ;user-centr;Managed Dobra application;false
7;iterate;Berkshire navigating;32004;false;2020-03-29T13:35:44;9998;JMD;Industrial;bypassing ;Applications Missouri deposit;false
8;methodical;Pakistan;21272;true;2020-03-29T12:22:46;79157;TMT;Wooden Opt;Austria mi;bandwidth Liaison;true
9;generating;Algerian Dinar Fantastic Fresh Salad;70624;false;2020-03-30T09:08:08;51332;BHD;Planner;PCI SAS;Interactions;true
10;navigate r;Buckinghamshire;37798;true;2020-03-29T18:09:58;42422;EUR;array supp;Parkway Ha;quantifying;true
