id;code;label;message_date;comment;active
1;supply-chains;Tools;2020-03-29T23:50:26;Handmade Wooden Cheese Fresh;true
2;synthesize Idah;Glen Refined;2020-03-29T22:24:27;web services;true
3;Strategist;Incredible Fresh Car Tuvalu;2020-03-29T11:15:26;Gorgeous Rubber Chicken Associate Central African Republic;true
4;Dalasi;Orchestrator Naira;2020-03-30T01:52:03;protocol Product Usability;false
5;brand Generic B;olive;2020-03-29T23:57:34;one-to-one Indiana;false
6;Engineer Archit;Beauty dynamic schemas;2020-03-29T20:37:18;clear-thinking Frozen Licensed;true
7;models New Mexi;Accountability;2020-03-29T14:18:10;Rustic Steel Shirt drive;true
8;Strategist Shir;navigate redefine;2020-03-29T15:11:18;Tennessee Practical Steel Shirt Plastic;false
9;Refined;haptic Producer Agent;2020-03-29T21:45:29;input Accounts;true
10;Ergonomic Falls;User-friendly;2020-03-30T04:29:41;white SMTP;true
